gift_id,day_index,body,image_url
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,1,"Ты моя хорошечка🫂 Я тебя обнимаю, милая. Хорошего тебе дня!",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,2,"Ты любимая и хорошая Алиса. Мне хорошо с тобой",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,3,"Я восхищаюсь твоим талантом видеть цвет и передавать это ощущение другим",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,4,"Спасибо тебе за тепло и заботу которые ты даришь каждый день",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,5,"Ты делаешь обычные моменты особенными просто своим присутствием",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,6,"Пусть сегодня у тебя будет много сил вдохновения и радости",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,7,"Мне нравится как ты смеешься и как у тебя светятся глаза",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,8,"Ты очень красивая умная и невероятно нежная",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,9,"Я рядом с тобой чувствую себя дома и это бесценно",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,10,"Ты мой любимый человек и я благодарен судьбе за нас",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,11,"Сегодня просто напоминание что ты прекрасна во всем",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,12,"Я верю в тебя и в твой талант сильнее чем кто-либо",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,13,"Ты вдохновляешь меня становиться лучше каждый день",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,14,"Пусть этот день будет мягким светлым и очень добрым к тебе",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,15,"Мне нравится в тебе все от улыбки до твоей решительности",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,16,"Ты умеешь создавать красоту даже из самых простых вещей",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,17,"Я горжусь тобой и всем что ты делаешь",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,18,"Ты моя радость мое спокойствие и мое вдохновение",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,19,"Пожалуйста береги себя и помни что я всегда рядом",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,20,"Ты удивительная и я каждый день заново влюбляюсь в тебя",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,21,"Твоя доброта и искренность делают мир вокруг лучше",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,22,"Ты заслуживаешь самого нежного и красивого дня",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,23,"Мне очень повезло что именно ты рядом со мной",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,24,"Ты сильная и светлая и я бесконечно тебя люблю",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,25,"Пусть сегодня будет больше улыбок и приятных мелочей",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,26,"Я люблю наши разговоры наши шутки и наши тихие вечера",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,27,"Ты особенная для меня и это навсегда",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,28,"Спасибо что ты есть в моей жизни любимая Алиса",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,29,"Обнимаю тебя мысленно и посылаю много любви на сегодня",
a7dccd41-5d8e-4d41-a21f-e2850416fa2a,30,"С тобой каждый день как маленький праздник моего сердца",
